"Week","location","team","school","opp","school2"
"240",2,"Home","Indiana","Indiana","Kennesaw State","Kennesaw State"
"241",2,"Home","Kansas State","Kansas State","Army","Army"
"242",2,"Home","Northwestern","Northwestern","Western Illinois","Western Illinois"
"243",2,"Home","USC","USC","Georgia Southern","Georgia Southern"
"244",2,"Home","Old Dominion","Old Dominion","North Carolina Central","North Carolina Central"
"245",2,"Home","Utah","Utah","Cal Poly","Cal Poly"
"246",2,"Home","Colorado","Colorado","Delaware","Delaware"
"247",2,"Home","Arizona","Arizona","Weber State","Weber State"
"248",2,"Home","Coastal Carolina","Coastal Carolina","Charleston Southern","Charleston Southern"
"249",2,"Home","SMU","SMU","Baylor","Baylor"
"250",2,"Home","Miami","Miami","Bethune-Cookman","Bethune-Cookman"
"251",2,"Home","App State","App State","Lindenwood","Lindenwood"
"252",2,"Home","Virginia Tech","Virginia Tech","Vanderbilt","Vanderbilt"
"253",2,"Home","Georgia State","Georgia State","Memphis","Memphis"
"254",2,"Home","Clemson","Clemson","Troy","Troy"
"255",2,"Home","South Alabama","South Alabama","Tulane","Tulane"
"256",2,"Home","Louisiana","Louisiana","McNeese","McNeese"
"257",2,"Home","Pittsburgh","Pittsburgh","Central Michigan","Central Michigan"
"258",2,"Home","Syracuse","Syracuse","UConn","UConn"
"259",2,"Home","Wake Forest","Wake Forest","Western Carolina","Western Carolina"
"260",2,"Home","NC State","NC State","Virginia","Virginia"
"261",2,"Home","Duke","Duke","Illinois","Illinois"
"262",2,"Home","Louisville","Louisville","James Madison","James Madison"
"263",2,"Home","Southern Miss","Southern Miss","Jackson State","Jackson State"
"264",2,"Home","Georgia Tech","Georgia Tech","Gardner-Webb","Gardner-Webb"
"265",2,"Home","Florida State","Florida State","East Texas A&M","East Texas A&M"
"266",2,"Home","California","California","Texas Southern","Texas Southern"
"267",2,"Home","Texas A&M","Texas A&M","Utah State","Utah State"
"268",2,"Home","New Mexico State","New Mexico State","Tulsa","Tulsa"
"269",2,"Home","Jacksonville State","Jacksonville State","Liberty","Liberty"
"270",2,"Home","UTSA","UTSA","Texas State","Texas State"
"271",2,"Home","Rice","Rice","Houston","Houston"
"272",2,"Away","Stanford","Stanford","BYU","BYU"
"273",2,"Away","Bowling Green","Bowling Green","Cincinnati","Cincinnati"
"274",2,"Away","North Carolina","North Carolina","Charlotte","Charlotte"
"275",2,"Away","Florida A&M","Florida A&M","Florida Atlantic","Florida Atlantic"
"276",2,"Away","North Carolina A&T","North Carolina A&T","UCF","UCF"
"277",2,"Away","East Tennessee State","East Tennessee State","Tennessee","Tennessee"
"278",2,"Away","Michigan","Michigan","Oklahoma","Oklahoma"
"279",2,"Away","Iowa","Iowa","Iowa State","Iowa State"
"280",2,"Away","Kansas","Kansas","Missouri","Missouri"
"281",2,"Away","Louisiana Tech","Louisiana Tech","LSU","LSU"
"282",2,"Away","Kent State","Kent State","Texas Tech","Texas Tech"
"283",2,"Away","Ole Miss","Ole Miss","Kentucky","Kentucky"
"284",2,"Away","Austin Peay","Austin Peay","Georgia","Georgia"
"285",2,"Away","South Florida","South Florida","Florida","Florida"
"286",2,"Away","Arkansas State","Arkansas State","Arkansas","Arkansas"
"287",2,"Away","South Carolina State","South Carolina State","South Carolina","South Carolina"
"288",2,"Away","Ball State","Ball State","Auburn","Auburn"
"289",2,"Away","Northern Iowa","Northern Iowa","Wyoming","Wyoming"
"290",2,"Away","Sacramento State","Sacramento State","Nevada","Nevada"
"291",2,"Away","Bryant","Bryant","Massachusetts","Massachusetts"
"292",2,"Away","UCLA","UCLA","UNLV","UNLV"
"293",2,"Away","Idaho State","Idaho State","New Mexico","New Mexico"
"294",2,"Away","Eastern Washington","Eastern Washington","Boise State","Boise State"
"295",2,"Away","Sam Houston","Sam Houston","Hawai'i","Hawai'i"
"296",2,"Away","Campbell","Campbell","East Carolina","East Carolina"
"297",2,"Away","Northern Colorado","Northern Colorado","Colorado State","Colorado State"
"298",2,"Away","North Texas","North Texas","Western Michigan","Western Michigan"
"299",2,"Away","Western Kentucky","Western Kentucky","Toledo","Toledo"
"300",2,"Away","Howard","Howard","Temple","Temple"
"301",2,"Away","Arizona State","Arizona State","Mississippi State","Mississippi State"
"302",2,"Away","Long Island University","Long Island University","Eastern Michigan","Eastern Michigan"
"303",2,"Away","St. Francis (PA)","St. Francis (PA)","Buffalo","Buffalo"
"304",2,"Away","West Virginia","West Virginia","Ohio","Ohio"
"305",2,"Away","UAB","UAB","Navy","Navy"
"306",2,"Away","Southern Illinois","Southern Illinois","Purdue","Purdue"
"307",2,"Away","Oklahoma State","Oklahoma State","Oregon","Oregon"
"308",2,"Away","Middle Tennessee","Middle Tennessee","Wisconsin","Wisconsin"
"309",2,"Away","UC Davis","UC Davis","Washington","Washington"
"310",2,"Away","UL Monroe","UL Monroe","Alabama","Alabama"
"311",2,"Away","Florida International","Florida International","Penn State","Penn State"
"312",2,"Away","Grambling","Grambling","Ohio State","Ohio State"
"313",2,"Away","Miami (OH)","Miami (OH)","Rutgers","Rutgers"
"314",2,"Away","UT Martin","UT Martin","UTEP","UTEP"
"315",2,"Away","Fresno State","Fresno State","Oregon State","Oregon State"
"316",2,"Away","Akron","Akron","Nebraska","Nebraska"
"317",2,"Away","Northwestern State","Northwestern State","Minnesota","Minnesota"
"318",2,"Away","San Diego State","San Diego State","Washington State","Washington State"
"319",2,"Away","San José State","San José State","Texas","Texas"
"320",2,"Away","Boston College","Boston College","Michigan State","Michigan State"
"321",2,"Away","Northern Illinois","Northern Illinois","Maryland","Maryland"
"322",2,"Away","Missouri State","Missouri State","Marshall","Marshall"
"323",2,"Away","Kennesaw State","Kennesaw State","Indiana","Indiana"
"324",2,"Away","Army","Army","Kansas State","Kansas State"
"325",2,"Away","Western Illinois","Western Illinois","Northwestern","Northwestern"
"326",2,"Away","Georgia Southern","Georgia Southern","USC","USC"
"327",2,"Away","North Carolina Central","North Carolina Central","Old Dominion","Old Dominion"
"328",2,"Away","Cal Poly","Cal Poly","Utah","Utah"
"329",2,"Away","Delaware","Delaware","Colorado","Colorado"
"330",2,"Away","Weber State","Weber State","Arizona","Arizona"
"331",2,"Away","Charleston Southern","Charleston Southern","Coastal Carolina","Coastal Carolina"
"332",2,"Away","Baylor","Baylor","SMU","SMU"
"333",2,"Away","Bethune-Cookman","Bethune-Cookman","Miami","Miami"
"334",2,"Away","Lindenwood","Lindenwood","App State","App State"
"335",2,"Away","Vanderbilt","Vanderbilt","Virginia Tech","Virginia Tech"
"336",2,"Away","Memphis","Memphis","Georgia State","Georgia State"
"337",2,"Away","Troy","Troy","Clemson","Clemson"
"338",2,"Away","Tulane","Tulane","South Alabama","South Alabama"
"339",2,"Away","McNeese","McNeese","Louisiana","Louisiana"
"340",2,"Away","Central Michigan","Central Michigan","Pittsburgh","Pittsburgh"
"341",2,"Away","UConn","UConn","Syracuse","Syracuse"
"342",2,"Away","Western Carolina","Western Carolina","Wake Forest","Wake Forest"
"343",2,"Away","Virginia","Virginia","NC State","NC State"
"344",2,"Away","Illinois","Illinois","Duke","Duke"
"345",2,"Away","James Madison","James Madison","Louisville","Louisville"
